Name,# Summer,Gold,Silver,Bronze,Total,# Winter,Gold.1,Silver.1,Bronze.1,Total.1,# Games,Gold.2,Silver.2,Bronze.2,Combined total
Afghanistan,16,0,0,2,2,0,0,0,0,0,16,0,0,2,2
Albania,10,0,0,2,2,5,0,0,0,0,15,0,0,2,2
Algeria,15,7,4,9,20,3,0,0,0,0,18,7,4,9,20
Argentina,26,22,27,31,80,20,0,0,0,0,46,22,27,31,80
Armenia,8,2,11,9,22,8,0,0,0,0,16,2,11,9,22
Australasia,2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
Australia,28,182,192,226,600,20,6,7,6,19,48,188,199,232,619
Austria,29,22,35,44,101,24,71,88,91,250,53,93,123,135,351
Azerbaijan,8,9,16,31,56,7,0,0,0,0,15,9,16,31,56
Bahamas,18,8,2,6,16,0,0,0,0,0,18,8,2,6,16
Bahrain,11,4,3,1,8,0,0,0,0,0,11,4,3,1,8
Barbados,14,0,0,1,1,0,0,0,0,0,14,0,0,1,1
Belarus,7,13,30,42,85,8,8,7,5,20,15,21,37,47,105
Belgium,28,47,57,63,167,22,2,2,4,8,50,49,59,67,175
Bermuda,20,1,0,1,2,8,0,0,0,0,28,1,0,1,2
Bohemia,3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
Botswana,12,1,2,1,4,0,0,0,0,0,12,1,2,1,4
Brazil,24,40,49,81,170,9,0,0,0,0,33,40,49,81,170
British West Indies,1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
Bulgaria,22,57,89,85,231,21,1,2,3,6,43,58,91,88,237
Burkina Faso,11,0,0,1,1,0,0,0,0,0,11,0,0,1,1
Burundi,8,1,1,0,2,0,0,0,0,0,8,1,1,0,2
Cameroon,16,3,1,2,6,1,0,0,0,0,17,3,1,2,6
Canada,28,80,117,156,353,24,77,72,76,225,52,157,189,232,578
Cape Verde,8,0,0,1,1,0,0,0,0,0,8,0,0,1,1
Chile,25,3,8,4,15,18,0,0,0,0,43,3,8,4,15
China,12,303,226,198,727,12,22,32,23,77,24,325,258,221,804
Colombia,21,5,16,17,38,3,0,0,0,0,24,5,16,17,38
Costa Rica,17,1,1,2,4,6,0,0,0,0,23,1,1,2,4
Ivory Coast,15,1,1,3,5,0,0,0,0,0,15,1,1,3,5
Croatia,9,16,15,17,48,9,4,6,1,11,18,20,21,18,59
Cuba,22,86,70,88,244,0,0,0,0,0,22,86,70,88,244
Cyprus,12,0,2,0,2,12,0,0,0,0,24,0,2,0,2
Czech Republic,8,22,22,28,72,8,10,11,13,34,16,32,33,41,106
Czechoslovakia,16,49,49,45,143,16,2,8,15,25,32,51,57,60,168
Denmark,29,50,80,84,214,15,0,1,0,1,44,50,81,84,215
Djibouti,10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
Dominica,8,1,0,0,1,1,0,0,0,0,9,1,0,0,1
Dominican Republic,16,4,5,6,15,0,0,0,0,0,16,4,5,6,15
Ecuador,16,4,4,2,10,2,0,0,0,0,18,4,4,2,10
Egypt,24,9,12,20,41,1,0,0,0,0,25,9,12,20,41
Eritrea,7,0,0,1,1,2,0,0,0,0,9,0,0,1,1
Estonia,14,10,9,17,36,11,4,2,2,8,25,14,11,19,44
Ethiopia,15,24,16,22,62,2,0,0,0,0,17,24,16,22,62
Fiji,16,2,1,1,4,3,0,0,0,0,19,2,1,1,4
Finland,27,101,85,119,305,24,45,65,65,175,51,146,150,184,480
France,30,239,278,299,816,24,42,41,55,138,54,281,319,354,954
