iter	Passed	Remaining
408	5117	7394
409	5129	7381
410	5141	7368
411	5155	7357
412	5166	7343
413	5178	7329
414	5190	7316
415	5201	7301
416	5213	7288
417	5225	7276
418	5238	7263
419	5250	7251
420	5264	7239
421	5276	7226
422	5288	7213
423	5302	7202
424	5315	7191
425	5326	7177
426	5340	7166
427	5353	7155
428	5366	7142
429	5378	7129
430	5393	7120
431	5404	7106
432	5417	7093
433	5428	7079
434	5442	7069
435	5454	7056
436	5466	7043
437	5479	7030
438	5493	7020
439	5506	7008
440	5521	6998
441	5538	6992
442	5555	6985
443	5571	6976
444	5585	6966
445	5600	6956
446	5611	6942
447	5624	6929
448	5635	6915
449	5648	6903
450	5662	6892
451	5673	6878
452	5684	6864
453	5700	6855
454	5712	6842
455	5724	6828
456	5752	6834
457	5780	6840
458	5806	6844
459	5826	6839
460	5841	6829
461	5852	6815
462	5864	6802
463	5877	6788
464	5889	6776
465	5900	6761
466	5911	6747
467	5922	6732
468	5934	6718
469	5946	6706
470	5960	6694
471	5972	6680
472	5984	6668
473	5996	6653
474	6006	6638
475	6018	6624
476	6030	6612
477	6042	6598
478	6054	6585
479	6065	6571
480	6078	6559
481	6090	6545
482	6102	6531
483	6114	6519
484	6126	6505
485	6137	6491
486	6150	6479
487	6162	6465
488	6174	6452
489	6186	6438
490	6199	6426
491	6212	6414
492	6224	6401
493	6235	6387
494	6248	6374
495	6259	6360
496	6270	6345
497	6282	6332
498	6294	6320
499	6308	6308
500	6319	6294
501	6330	6280
502	6343	6268
503	6357	6256
504	6370	6244
505	6381	6229
506	6396	6219
507	6408	6206
508	6419	6192
509	6433	6181
510	6446	6169
511	6458	6155
512	6470	6142
513	6481	6128
514	6494	6115
515	6506	6103
516	6517	6089
517	6528	6075
518	6541	6062
519	6552	6048
520	6565	6035
521	6579	6024
522	6591	6011
523	6605	6000
524	6616	5986
525	6630	5974
526	6642	5961
527	6654	5948
528	6666	5935
529	6679	5922
530	6693	5912
531	6706	5899
532	6718	5886
533	6730	5873
534	6743	5860
535	6757	5849
536	6769	5836
537	6782	5824
538	6795	5812
539	6808	5800
540	6821	5787
541	6835	5775
542	6847	5762
543	6859	5749
544	6871	5736
545	6883	5723
546	6895	5710
547	6907	5697
548	6920	5684
549	6932	5671
550	6943	5657
551	6955	5645
552	6970	5634
553	6982	5620
554	6993	5607
555	7005	5594
556	7019	5582
557	7031	5569
558	7046	5558
559	7079	5562
560	7107	5562
561	7132	5558
562	7150	5549
563	7162	5537
564	7174	5523
565	7187	5511
566	7200	5498
567	7212	5485
568	7223	5471
569	7236	5459
570	7248	5445
571	7262	5434
572	7274	5421
573	7286	5407
574	7299	5395
575	7311	5381
576	7322	5368
577	7334	5355
578	7345	5341
579	7358	5328
580	7371	5316
581	7383	5302
582	7397	5290
583	7409	5277
584	7421	5264
585	7432	5250
586	7444	5237
587	7456	5224
588	7469	5212
589	7482	5199
590	7492	5185
591	7505	5173
592	7520	5161
593	7536	5151
594	7549	5138
595	7562	5126
596	7577	5114
597	7589	5102
598	7601	5088
599	7612	5075
600	7624	5061
601	7635	5048
602	7646	5034
603	7657	5020
604	7669	5007
605	7680	4993
606	7692	4980
607	7707	4968
608	7718	4955
609	7730	4942
610	7743	4929
611	7757	4918
612	7768	4904
613	7780	4891
614	7791	4877
615	7804	4865
616	7817	4852
617	7829	4839
618	7842	4827
619	7856	4815
620	7869	4802
621	7884	4791
622	7896	4778
623	7907	4765
624	7920	4752
625	7932	4739
626	7944	4725
627	7958	4713
628	7970	4701
629	7985	4689
630	7997	4676
631	8009	4663
632	8021	4650
633	8034	4638
634	8046	4625
635	8058	4612
636	8070	4599
637	8082	4585
638	8095	4573
639	8108	4560
640	8120	4547
641	8134	4536
642	8146	4522
643	8159	4510
644	8171	4497
645	8185	4485
646	8199	4473
647	8212	4460
648	8223	4447
649	8236	4435
650	8248	4422
651	8261	4409
652	8273	4396
653	8285	4383
654	8299	4371
655	8313	4359
656	8325	4346
657	8339	4334
658	8352	4322
659	8384	4319
660	8413	4315
661	8434	4306
662	8449	4294
663	8462	4282
664	8473	4268
665	8484	4255
666	8496	4241
667	8507	4228
668	8519	4215
669	8530	4201
670	8542	4188
671	8553	4174
672	8564	4161
673	8576	4148
674	8587	4134
675	8598	4120
676	8610	4108
677	8620	4094
678	8635	4082
679	8648	4069
680	8662	4057
681	8675	4045
682	8687	4031
683	8701	4019
684	8714	4007
685	8727	3994
686	8740	3982
687	8751	3968
688	8763	3955
689	8778	3943
690	8789	3930
691	8800	3916
692	8812	3904
693	8825	3891
694	8838	3878
695	8848	3864
696	8860	3851
697	8872	3838
698	8883	3825
699	8894	3812
700	8906	3798
701	8917	3785
702	8928	3772
703	8940	3758
704	8950	3745
705	8962	3732
706	8974	3719
707	8987	3706
708	9000	3694
709	9011	3680
710	9025	3668
711	9037	3655
712	9049	3642
713	9061	3629
714	9074	3616
715	9088	3604
716	9102	3592
717	9114	3579
718	9129	3567
719	9143	3555
720	9156	3543
721	9169	3530
722	9181	3517
723	9192	3504
724	9204	3491
725	9220	3479
726	9231	3466
727	9243	3453
728	9255	3440
729	9267	3427
730	9279	3414
731	9290	3401
732	9303	3388
733	9318	3376
734	9330	3364
735	9343	3351
736	9355	3338
737	9368	3325
738	9381	3313
739	9393	3300
740	9405	3287
741	9418	3274
742	9431	3262
743	9443	3249
744	9455	3236
745	9468	3223
746	9480	3210
747	9495	3198
748	9507	3185
749	9521	3173
750	9534	3161
751	9550	3149
752	9570	3139
753	9587	3127
754	9604	3116
755	9621	3105
756	9633	3092
757	9647	3079
758	9660	3067
759	9675	3055
760	9688	3042
761	9700	3029
762	9714	3017
763	9729	3005
764	9741	2992
765	9753	2979
766	9767	2967
767	9780	2954
768	9793	2941
769	9804	2928
770	9818	2916
771	9830	2903
772	9843	2890
773	9854	2877
774	9868	2865
775	9881	2852
776	9893	2839
777	9904	2826
778	9916	2813
779	9929	2800
780	9942	2787
781	9955	2775
782	9968	2762
783	9981	2749
784	9993	2737
785	10005	2724
786	10018	2711
787	10031	2698
788	10043	2685
789	10054	2672
790	10066	2659
791	10080	2647
792	10093	2634
793	10104	2621
794	10117	2608
795	10130	2596
796	10145	2584
797	10157	2571
798	10169	2558
799	10182	2545
800	10197	2533
801	10210	2520
802	10223	2508
803	10235	2495
804	10248	2482
805	10263	2470
806	10275	2457
807	10288	2444
808	10300	2431
809	10314	2419
810	10327	2406
811	10341	2394
812	10352	2381
813	10364	2368
814	10378	2355
815	10389	2342
816	10401	2329
817	10414	2317
818	10426	2304
819	10441	2292
820	10454	2279
821	10466	2266
822	10478	2253
823	10491	2241
824	10503	2228
825	10516	2215
826	10528	2202
827	10542	2190
828	10555	2177
829	10567	2164
830	10578	2151
831	10591	2138
832	10604	2126
833	10616	2113
834	10631	2100
835	10643	2087
836	10656	2075
837	10669	2062
838	10681	2049
839	10694	2037
840	10707	2024
841	10719	2011
842	10731	1998
843	10742	1985
844	10756	1973
845	10769	1960
846	10781	1947
847	10793	1934
848	10807	1922
849	10820	1909
850	10832	1896
851	10843	1883
852	10856	1870
853	10869	1858
854	10882	1845
855	10894	1832
856	10906	1819
857	10920	1807
858	10936	1795
859	10949	1782
860	10962	1769
861	10977	1757
862	10989	1744
863	11001	1731
864	11014	1719
865	11027	1706
866	11039	1693
867	11054	1681
868	11068	1668
869	11081	1655
870	11093	1642
871	11107	1630
872	11123	1618
873	11136	1605
874	11148	1592
875	11159	1579
876	11171	1566
877	11184	1554
878	11197	1541
879	11210	1528
880	11222	1515
881	11235	1503
882	11247	1490
883	11258	1477
884	11270	1464
885	11281	1451
886	11293	1438
887	11305	1425
888	11318	1413
889	11329	1400
890	11340	1387
891	11355	1374
892	11367	1362
893	11379	1349
894	11394	1336
895	11406	1324
896	11419	1311
897	11431	1298
898	11442	1285
899	11454	1272
900	11467	1259
901	11480	1247
902	11492	1234
903	11506	1221
904	11519	1209
905	11531	1196
906	11547	1184
907	11561	1171
908	11573	1158
909	11585	1145
910	11598	1133
911	11610	1120
912	11622	1107
913	11636	1094
914	11651	1082
915	11666	1069
916	11682	1057
917	11700	1045
918	11715	1032
919	11729	1019
920	11744	1007
921	11760	994
922	11773	982
923	11789	969
924	11801	956
925	11815	944
926	11827	931
927	11840	918
928	11851	905
929	11862	892
930	11874	880
931	11888	867
932	11900	854
933	11912	841
934	11924	828
935	11936	816
936	11949	803
937	11962	790
938	11974	777
939	11988	765
940	12004	752
941	12016	739
942	12028	727
943	12040	714
944	12051	701
945	12064	688
946	12075	675
947	12087	663
948	12099	650
949	12113	637
950	12127	624
951	12138	612
952	12149	599
953	12160	586
954	12175	573
955	12186	560
956	12199	548
957	12211	535
958	12226	522
959	12240	510
960	12251	497
961	12263	484
962	12275	471
963	12288	458
964	12302	446
965	12313	433
966	12326	420
967	12338	407
968	12350	395
969	12364	382
970	12392	370
971	12423	357
972	12447	345
973	12465	332
974	12479	319
975	12490	307
976	12502	294
977	12516	281
978	12528	268
979	12539	255
980	12551	243
981	12564	230
982	12574	217
983	12588	204
984	12600	191
985	12612	179
986	12626	166
987	12636	153
988	12649	140
989	12661	127
990	12674	115
991	12684	102
992	12697	89
993	12708	76
994	12719	63
995	12731	51
996	12743	38
997	12755	25
998	12766	12
999	12776	0
